Principal MECID,Principal Name,Address 1,Address 2,City,State,Zip,Phone 1,Phone 2,Lobbyist MECID,Lobbyist Name
P213755,Decoding Dyslexia MO,5853 S Northern Ridge Rd,,Springfield,MO,65810,(417) 849-4748,,L000698,"Winton , David"
P213755,Decoding Dyslexia MO,5853 S Northern Ridge Rd,,Springfield,MO,65810,(417) 849-4748,,L003827,"Petrie, Jessica"
P213755,Decoding Dyslexia MO,5853 S Northern Ridge Rd,,Springfield,MO,65810,(417) 849-4748,,L004205,"Thelemaque, Henrio"
P180001,1200 Main/South Loop CID,414 E. 12th,,Kansas City,MO,64106,(816) 513-2819,,L002448,"Stone, Doug"
P180002,1221 Locust LLC,220 W 6th Street,Suite A,Little Rock,AR,72201,(501) 291-1379,,L004284,"Slay, Francis G."
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L000299,"Gamble, William"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L000300,"Gamble, Cynthia"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L000580,"Schlemeier, Jorgen"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L000644,"Topp, Sarah"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L001532,"Schilligo, Nick"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L002845,"Jackson, David"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L003130,"Brooks, Jeffery"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L003747,"Gamble, Kathryn"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L004133,"Schlemeier, Sarah"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L190054,"Wilson, Olivia"
P180003,1-800 Contacts,261 W Data Dr,,Draper,UT,84020,(224) 477-6156,,L190149,"Gamble, John"
P180005,1st Amendment Partnership,1730 M Street NW Ste 909,,Washington,DC,20036,(202) 682-1201,,L003972,"Kinzer, Lance"
P180006,22nd Judicial Circuit,Civil Courts Building,10 North Tucker Blvd,St. Louis,MO,63101,(314) 622-4311,,L001739,"Klarich, David John"
