MECID_L,Lobbyist First Name,Lobbyist Last Name,Recipient,Principal,Expenditure Type,Expenditure Category,Expenditure Date,Expenditure Amount,Amended,Description,Version From,Version To
L001699,Catina,Shannon,"Butler,  Michael  - City of St. Louis","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",1/2/19,"1,999.99",No,swearing in ceremony,1,
L003173,Rick,Eastman,"Butler,  Michael  - City of St. Louis","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",1/2/19,"2,000.00",No,swearing in ceremony,1,
L002988,Brad,Bates,Entire Missouri Senate,Missouri Association of Beer Wholesalers,Group,"Meals, Food, & Beverage",1/4/19,91.03,No,Drink donation for inauguration,1,
L000382,Roxsen,Koch,"Barnes,  Lee  - City of Kansas City","Country Club Plaza JV, LLC",Individual,"Meals, Food, & Beverage",1/9/19,16.6,No,Lunch,1,
L002951,Herb,Kuhn,"Shields,  Brenda  - Representative",Missouri Hospital Association,Individual,"Meals, Food, & Beverage",1/10/19,85.32,Yes - Didn’t believe reporting was required until guidance was received from MEC.,": Standard board meeting expenses (meal, mileage & lodging) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014. The dinner that honors outgoing chair and incoming members.  Spouses of Board Members are encouraged and traditionally attend.  Brenda attended this dinner as Charlie’s spouse in all years prior to being elected to the legislature.",2,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,"Meals, Food, & Beverage",1/10/19,98.16,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting expenses (meal, mileage & lodging) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014. The dinner that honors outgoing chair and incoming members.  Spouses of Board Members are encouraged and traditionally attend.  Brenda attended this dinner as Charlie’s spouse in all years prior to being elected to the legislature.",2,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,Travel,1/10/19,300.15,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting expenses (meal, mileage & lodging) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014. The dinner that honors outgoing chair and incoming members.  Spouses of Board Members are encouraged and traditionally attend.  Brenda attended this dinner as Charlie’s spouse in all years prior to being elected to the legislature.",2,
L001535,Brian,Grace,Entire General Assembly,Missouri Economic Development Council,Group,"Meals, Food, & Beverage",1/14/19,355,No,catered meal/beverage,1,
L002996,Jay,Hahn,Entire General Assembly,Missouri Optometric Association,Group,"Meals, Food, & Beverage",1/14/19,894.38,No,Cinnamon Rolls on behalf of Missouri Optometric Assoc. - under $5 per person,1,
L004202,Chris,Hankins,"Biard,  Bill  - City of Lees Summit",Justice for Jake,Individual,Printing & Publication,1/14/19,6.25,Yes - City of Lee's Summit,Project Vision,2,
L004202,Chris,Hankins,"Weber,  Christal  - Employee/Staff (Biard,  Bill )",Justice for Jake,Individual,Printing & Publication,1/14/19,6.25,Yes - City of Lee's Summit,Project Vision,2,
L000168,Jerry,Burch,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",1/16/19,400,No,MSU legislative briefing,1,
L003768,Holly,Wipfler,"Johanning Meier,  Christian  - Employee/Staff (Treece,  Brian )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,1/16/19,92.5,No,"Mizzou basketball game tickets. Christian Johanning Meier 2 Tickets, Tad Johnson 3 Tickets.",1,
L003768,Holly,Wipfler,"Johnson,  Tad  - Employee/Staff (Treece,  Brian )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,1/16/19,138.75,No,"Mizzou basketball game tickets. Christian Johanning Meier 2 Tickets, Tad Johnson 3 Tickets.",1,
L190037,Sarah,Ritter,Entire Missouri Senate,Operation Food Search,Group,"Meals, Food, & Beverage",1/16/19,36.86,No,"Operation Food Search sent e-vites to all the Missouri legislators to invite them to come to our table in the Rotunda on January 16, 2019.  We brought our nutrition education team to make small samples (each sample was about $1) of snacks they teach children to make in our Nutrition Education program.  We spoke to legislators about the mission of Operation Food Search.",1,
